country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Lesotho","Beer","Maluti Premium Lager","Maluti Mountain Brewery","4,8","Pale Lager","NA","Maseru","NA","NA","Maluti.jpg"
"Liberia","Beer","Club Beer (Liberia)","Monrovia Breweries","4,2","Pale Lager","NA","Monrovia","NA","NA","Club.jpg"
"Liechtenstein","Beer","Liechtensteiner Brauhaus Club Bier 02 Alpen Pale Ale","Liechtensteiner Brauhaus","5,4","Indian Pale Ale","NA","Schaan","http://www.brauhaus.li/","NA","Brauhaus.jpg"
"Lithuania","Beer","Joalda Joniškelio Respublika","UAB Joalda","5,2","Traditional Ale","NA","Joniškelis","http://www.daralaus.lt/Joalda/Joalda.html","NA","1919.jpg"
"Lithuania","Beer","Piniavos Seklycios","Piniavos Alutis","5","Traditional Ale","NA","Piniava","http://www.piniavosalutis.lt/home","NA","Sekly.jpg"
"Luxembourg","Beer","Okult Quaffit Stout","Brasserie Simon","6,2","Stout","NA","Wiltz","NA","NA","Okult.jpg"
"Luxembourg","Beer","Beierhaascht Wanter Béier","Beierhaascht","5","Dunkel","NA","Bascharage","http://www.beierhaascht.lu/","NA","Wanter.jpg"
"Macau","Beer","Macau Blonde Ale","Companhia de Cervejas de Macau (Kirin)","5","Blonde Ale","NA","Macau","http://www.macaubeer.net/","NA","Macau.jpg"
"Macedonia","Beer","Skopsko Svetlo Pivo","Pivara Skopje","4,9","Pale Lager","NA","Skopje","http://www.pivaraskopje.com.mk/","NA","Skopsko.jpg"
"Macedonia","Beer","Kenbach Beer","Pivara Bitola","5,5","Pilsener","NA","Bitola","http://www.pivarabitola.mk/","NA","Kenbach.jpg"
"Madagascar","Beer","Star Gold Blonde","Brasseries Star","6,5","Pale Lager","NA","Antananarivo","http://www.star-thb.com/","NA","Gold.jpg"
"Madagascar","Beer","Libertalia Original Beer","Nouvelle Brasserie de Madagascar","6","Blonde Ale","NA","Ambatolampy","NA","NA","Libertalia.jpg"
"Malawi","Beer","Kuche Kuche","Carlsberg Malawi Brewery","3,7","Pale Lager","NA","Blantyre","NA","NA","Kuche.jpg"
"Malaysia","Beer","Danish Royal Stout","Carlsberg Brewery Malaysia Berhad","8","Foreign Stout","NA","Shah Alam","NA","NA","RoyalStout.jpg"
"Mali","Beer","Beaufort (Mali)","Bramali (BGI)","4,6","Pale Lager","NA","Bamako","NA","NA","Beaufort.jpg"
"Malta","Beer","Farsons Lacto","Simonds Farsons Cisk","3,8","Sweet Stout","NA","Mriehel","http://www.farsons.com/","NA","Farsons.jpg"
"Malta","Beer","Lord Chambray San Blas","Lord Chambray","5,5","American Pale Ale","NA","Xewkija","http://www.lordchambray.com.mt/","NA","LordChambray.jpg"
"Martinique","Beer","Bière Lorraine Blonde","Brasserie Lorraine","5","Pale Lager","NA","Le Lamentin","NA","NA","Lorraine.jpg"
"Mauritius","Beer","Blue Marlin (Mauritius)","Phoenix Beverages Group","6","Pale Lager","NA","Pont-Fer","http://www.phoenixbeverages.mu/welcome-page.php","NA","BlueMarlin.jpg"
"Mauritius","Beer","Guinness Foreign Extra Stout (Mauritius)","Phoenix Beverages Group","7,5","Foreign Stout","NA","Pont-Fer","http://www.phoenixbeverages.mu/welcome-page.php","NA","GuiMau.jpg"
"Mayotte","Beer","Hipo","Aqua Service Mayotte","5,5","Pale Lager","NA","Mamoudzou","NA","NA","Hipo.jpg"
"Mexico","Beer","Cucapá Barley Wine (Centenario)","Cervecería Cucapá","10","Barley Wine","NA","Mexicali","http://www.cucapa.com/esp/pages/cucapa.php","NA","Cucapa.jpg"
"Mexico","Beer","Calavera Mexican Imperial Stout","Cervecería Calavera","9","Imperial Stout","NA","Tlalnepantla","NA","NA","Mexican.jpg"
"Mexico","Beer","Minerva Imperial Tequila Ale","Cerveceria Minerva","7","American Strong Ale","NA","Zapopan","http://www.cervezaminerva.mx/","NA","ITA.jpg"
"Micronesia","Beer","Stone Money Telmar Biya  ","Stone Money Brewing Company","3","Dunkel","NA","Yap","http://www.mantaray.com/stone-money-brewing.php","NA","NA"
"Moldova","Beer","Bocikovoe Dubovoe","Beermaster S.A","5","Dunkel","NA","Bălți","http://www.beermaster.md/","NA","Boci.jpg"
"Monaco","Beer","Brasserie de Monaco Ambrée","Brasserie de Monaco","5,5","Amber Ale","NA","Port Hercule","http://www.brasseriedemonaco.com/","NA","Monaco.jpg"
"Mongolia","Beer","Chinggis Lager Unfiltered","Chinggis Club","NA","Pale Lager","NA","Ulaanbaatar","http://www.chinggisbeer.mn/","NA","Chinggis.jpg"
"Montenegro","Beer","Nikšicko Tamno","Trebjesa (MolsonCoors)","6,2","Pale Lager","NA","Nikšic","http://www.niksickopivo.com/age-check.php","NA","Nik.jpg"
"Montenegro","Beer","Nikšicko Gold","Trebjesa (MolsonCoors)","5,2","Premium Lager","NA","Nikšic","http://www.niksickopivo.com/age-check.php","NA","Niksi.jpg"
"Morocco","Beer","Casablanca (Casa Beer)","Société des Brasseries du Maroc","5","Pale Lager","NA","Casablanca","NA","NA","Casablanca.jpg"
"Mozambique","Beer","Raiz","Cervejas De Moçambique","4,8","Pale Lager","NA","Beira","NA","NA","Raiz.jpg"
"Mozambique","Beer","Laurentina Preta","Cervejas De Moçambique","5","Dunkel","NA","Beira","NA","NA","Laurentina.jpg"
"Myanmar","Beer","Andaman Gold","Myanmar Brewery and Distillery","5","Pale Lager","NA","Yangon","http://www.myanmarbeer.com/","NA","Andaman.jpg"
"Namibia","Beer","Hansa Urbock","Namibia Breweries","7","Dunkler Bock","NA","Windhoek","http://www.nambrew.com/","NA","Hansa.jpg"
"Namibia","Beer","Camelthorn Red","Camelthorn Brewing Company (Namibia Breweries)","4,5","Amber Ale","NA","Windhoek","http://www.nambrew.com/","NA","Camel.jpg"
"Nepal","Beer","Coblenzer Pilsener","Sthapit & Schlau - Coblenzer Beers","5,5","Pilsener","NA","Patan","http://www.coblenzerbeers.com/","NA","Coblenzer.jpg"
"Nepal","Beer","Nepal’s Mustang Premium Lager Beer","Sungold Brewery","5,5","Premium Lager","NA","Kathmandu","http://www.nepalibeer.com/","NA","Mustang.jpg"
"Nepal","Beer","Everest Premium Lager","Mount Everest Brewery","5","Pale Lager","NA","Kathmandu","http://www.mteverestbrewery.com/legalage?destination=home","NA","Everest.jpg"
"Netherlands","Beer","De Molen Hel & Verdoemenis 666","Brouwerij de Molen","10","Imperial Stout","NA","Bodegraven","http://www.brouwerijdemolen.nl/","NA","DeMolen.jpg"
"Netherlands","Beer","Emelisse White Label Imperial Russian Stout (Wild Turkey BA)","Brouwerij Emelisse","11","Imperial Stout","NA","Kamperland","http://www.emelisse.nl/","NA","Emelisse.jpg"
"New Caledonia","Beer","Number One (New Caledonia)","Grande Brasserie de Nouvelle-Calédonie SA","5","Pale Lager","NA","Noumea","http://www.gbnc.nc/","NA","NumberOne.jpg"
